index,date,high,low,open,close,adjust,volume
2524,2019-08-08,80.0,75.5,75.5,79.9,76.59,193150
2525,2019-08-09,79.9,78.0,79.6,78.0,74.77,105190
2526,2019-08-12,78.3,78.0,78.0,78.0,74.77,38810
2527,2019-08-13,78.0,77.1,78.0,77.3,74.1,158390
2528,2019-08-14,78.9,77.6,77.6,78.5,75.25,88740
2529,2019-08-15,78.4,76.8,77.5,78.4,75.15,122830
2530,2019-08-16,78.0,77.0,78.0,77.1,73.91,144210
2531,2019-08-19,77.9,76.8,77.9,77.7,74.48,42400
2532,2019-08-20,77.9,76.5,77.9,77.0,73.81,128690
2533,2019-08-21,77.8,76.9,77.0,77.8,74.58,85620
2534,2019-08-22,79.8,78.0,78.0,78.7,75.44,144600
2535,2019-08-23,78.8,77.5,78.8,78.5,75.25,91040
2536,2019-08-26,78.0,77.1,77.3,77.8,74.58,85800
2537,2019-08-27,77.8,77.0,77.3,77.0,73.81,129890
2538,2019-08-28,77.5,76.5,77.0,77.2,74.0,89400
2539,2019-08-29,76.6,76.0,76.6,76.0,72.85,166240
2540,2019-08-30,77.0,76.0,77.0,76.0,72.85,86770
